sample_id,SMILES,metal_ion,true_pka_values,predicted_positions,binding_sites
0,C#N,Ag+,[20.45],[1],[1]
1,C(CN(Cc1ccccn1)Cc2ccccn2)N(Cc3ccccn3)Cc4ccccn4,Ag+,[11.06],[31],"[2, 9, 16, 17, 24, 31]"
2,C1CNCCSCCOCCSCCN1,Ag+,[9.9],[14],"[2, 5, 8, 11, 14]"
3,C1COCCOCCSCCSCCOCCO1,Ag+,[3.05],[11],"[2, 5, 8, 11, 14, 17]"
4,C1COCCSCCOCCOCCSCCO1,Ag+,[5.27],[5],"[2, 5, 8, 11, 14, 17]"
5,C1N2CN3CN1CN(C2)C3,Ag+,[3.49],[5],"[1, 3, 5, 7]"
6,CC(C)=C,Ag+,[1.77],[3],[]
7,CC(O)=S,Ag+,[4.07],[2],"[2, 3]"
8,CCCCC(C(O)=O)C(O)=O,Ag+,[0.74],[6],"[6, 7, 9, 10]"
9,CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@@]3(O)[C@H]2C=C(C)C3=O)[C@@H]4C(C)(C)[C@]14OC(C)=O,Ag+,[7.71],[20],"[14, 15, 20, 25, 28, 34, 40, 43]"
10,CCCCCCSc1ccc(cc1)C(O)=O,Ag+,[2.84],[14],"[6, 14, 15]"
11,CCCCCSc1ccc(cc1)C(O)=O,Ag+,[2.84],[13],"[5, 13, 14]"
12,CCCCSc1ccc(cc1)C(O)=O,Ag+,[2.82],[12],"[4, 12, 13]"
13,CCCSc1ccc(cc1)C(O)=O,Ag+,[2.82],[11],"[3, 11, 12]"
14,CCSc1ccc(cc1)C(O)=O,Ag+,[2.82],[10],"[2, 10, 11]"
15,CN1CCSCCN(C)CCSCC1,Ag+,[11.15],[1],"[1, 4, 7, 11]"
16,CNCCSCCOCCSCCNC,Ag+,[7.32],[1],"[1, 4, 7, 10, 13]"
17,COc1ccccc1SCC(O)=O,Ag+,[2.95],[11],"[1, 8, 11, 12]"
18,CSCC[C@H](N)C(=O)N[C@H](CCSC)C(O)=O,Ag+,[5.71],[5],"[1, 5, 7, 8, 12, 15, 16]"
19,CSc1ccc(cc1)C(O)=O,Ag+,[2.79],[9],"[1, 9, 10]"
20,C[C@H](N)C(O)=O,Ag+,[-7.02],[2],"[2, 4, 5]"
21,Cc1cc(C)nc(C)c1,Ag+,[4.68],[5],[5]
22,Cc1cccc(CN(CC(O)=O)CC(O)=O)n1,Ag+,[6.1],[7],"[7, 10, 11, 14, 15, 16]"
23,FC(F)(F)C(=O)CC(=O)c1sccc1,Ag+,[1.1],[10],"[5, 8, 10]"
24,NC(=O)c1cccnc1,Ag+,[3.21],[7],"[0, 2, 7]"
25,NCCN,Ag+,[7.47],[3],"[0, 3]"
26,N[C@@H](CCC(O)=O)C(O)=O,Ag+,[3.79],[0],"[0, 5, 6, 8, 9]"
27,Nc1ccccn1,Ag+,[-4.85],[6],"[0, 6]"
28,Nc1cccnc1,Ag+,[-4.44],[5],"[0, 5]"
29,Nc1ccncc1,Ag+,[6.04],[4],"[0, 4]"
30,OC(=O)C(CC=C)C(O)=O,Ag+,[2.09],[0],"[0, 2, 8, 9]"
31,OC(=O)C(CCC=C)C(O)=O,Ag+,[2.28],[9],"[0, 2, 9, 10]"
32,OC(=O)C(CCCC=C)C(O)=O,Ag+,[2.34],[10],"[0, 2, 10, 11]"
33,OC(=O)CC(S)C(O)=O,Ag+,[7.85],[0],"[0, 2, 5, 7, 8]"
34,OC(=O)CN(CC(O)=O)Cc1ccccn1,Ag+,[5.65],[4],"[0, 2, 4, 7, 8, 15]"
35,OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,Ag+,[7.2],[7],"[0, 2, 4, 7, 10, 11, 14, 15, 18, 19]"
36,OC(=O)COc1ccccc1,Ag+,[0.91],[0],"[0, 2, 4]"
37,OC(=O)CSCC(O)=O,Ag+,[4.04],[7],"[0, 2, 4, 7, 8]"
38,OC(=O)CSc1ccc(cc1)[N+]([O-])=O,Ag+,[1.86],[0],"[0, 2, 4, 11, 12, 13]"
39,OC(=O)c1ccc(SCC=C)cc1,Ag+,[2.76],[0],"[0, 2, 7]"
40,OC(=O)c1ccc(SCCC=C)cc1,Ag+,[3.84],[0],"[0, 2, 7]"
41,OC(=O)c1ccc(SCCCC=C)cc1,Ag+,[3.05],[0],"[0, 2, 7]"
42,OC(=O)c1ccc(SCc2ccccc2)cc1,Ag+,[2.76],[0],"[0, 2, 7]"
43,OC(=O)c1ccc(Sc2ccccc2)cc1,Ag+,[2.44],[0],"[0, 2, 7]"
44,OC1CSCCCSCC(O)CSCCCSC1,Ag+,[2.67],[10],"[0, 3, 7, 10, 12, 16]"
45,OCCN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,Ag+,[6.67],[6],"[0, 3, 6, 9, 10, 13, 14, 17, 18]"
46,O[S](=O)(=O)c1cccc(c1)[As](c2cccc(c2)[S](O)(=O)=O)c3cccc(c3)[S](O)(=O)=O,Ag+,[5.36],[0],"[0, 1, 2, 3, 17, 18, 19, 20, 27, 28, 29, 30]"
47,Oc1ccccc1,Ag+,[0.18],[0],[0]
48,Brc1cc2cccnc2c3ncccc13,Ag+,"[5.3, 11.77]","[7, 10]","[7, 10]"
49,C1CN(CCN1)c2ccccc2,Ag+,"[2.97, 5.74]","[5, 2]","[2, 5]"
50,C1CNCCN1,Ag+,"[3.33, 6.04]","[5, 2]","[2, 5]"
51,C=CCCCc1ccccn1,Ag+,"[2.27, 4.37]","[10, 9]",[10]
52,C=CCCc1ccccn1,Ag+,"[2.72, 4.5]","[9, 8]",[9]
53,C=CCc1ccccn1,Ag+,"[2.97, 4.8]","[8, 7]",[8]
54,C=Cc1ccccn1,Ag+,"[1.75, 3.55]","[7, 6]",[7]
55,C=Cc1ccncc1,Ag+,"[1.98, 4.08]","[5, 4]",[5]
56,CC#N,Ag+,"[0.42, 0.78]","[2, 0]",[2]
57,CC(C)(C)N,Ag+,"[3.69, 7.87]","[4, 0]",[4]
58,CC(C)N,Ag+,"[3.67, 7.77]","[3, 1]",[3]
59,CC(C)[C@H](N)C(=O)N[C@@H](C(C)C)C(O)=O,Ag+,"[3.03, 6.93]","[4, 13]","[4, 6, 7, 13, 14]"
60,CC(C)[C@H](N)C(=O)N[C@H](C(C)C)C(O)=O,Ag+,"[3.24, 7.23]","[4, 13]","[4, 6, 7, 13, 14]"
61,CC1CNCC(C)N1,Ag+,"[3.3, 6.66]","[3, 7]","[3, 7]"
62,CC1CNCCN1,Ag+,"[3.44, 6.18]","[3, 6]","[3, 6]"
63,CCC(C)N,Ag+,"[-7.77, 3.65]","[4, 2]",[4]
64,CCC(N)CC,Ag+,"[3.53, 7.73]","[3, 2]",[3]
65,CCCCCCSCC(O)=O,Ag+,"[3.94, 7.1]","[9, 6]","[6, 9, 10]"
66,CCCCCSCC(O)=O,Ag+,"[3.92, 7.0]","[8, 5]","[5, 8, 9]"
67,CCCCSCC(O)=O,Ag+,"[3.97, 6.7]","[7, 4]","[4, 7, 8]"
68,CCCC[C@H](N)C(O)=O,Ag+,"[-6.71, -3.21]","[5, 7]","[5, 7, 8]"
69,CCCC[Se]CC(O)=O,Ag+,"[4.62, 8.01]","[7, 8]","[7, 8]"
70,CCCSCC(O)=O,Ag+,"[3.94, 7.2]","[6, 3]","[3, 6, 7]"
71,CCC[C@H](N)C(O)=O,Ag+,"[-6.27, 3.08]","[4, 6]","[4, 6, 7]"
72,CCCc1ccccn1,Ag+,"[-4.45, -2.15]","[8, 7]",[8]
73,CCN,Ag+,"[3.44, 7.36]","[2, 1]",[2]
74,CCSCC(O)=O,Ag+,"[3.92, 7.0]","[5, 2]","[2, 5, 6]"
75,CN,Ag+,"[3.06, 6.76]","[1, 0]",[1]
76,CN(C)c1ccc(cc1)[S](O)(=O)=O,Ag+,"[0.76, 1.4]","[10, 1]","[1, 9, 10, 11, 12]"
77,CN1CCN(C)CC1,Ag+,"[2.2, 3.46]","[1, 4]","[1, 4]"
78,CN1CCNCC1,Ag+,"[2.93, 5.26]","[4, 1]","[1, 4]"
79,COc1ccc(SCC(O)=O)cc1,Ag+,"[2.97, 5.2]","[9, 4]","[1, 6, 9, 10]"
80,COc1ccc([Se]CC(O)=O)cc1,Ag+,"[3.75, 6.7]","[9, 4]","[1, 9, 10]"
81,COc1cccc(SCC(O)=O)c1,Ag+,"[2.68, 4.6]","[10, 5]","[1, 7, 10, 11]"
82,CSCC(O)=O,Ag+,"[3.9, 7.4]","[4, 1]","[1, 4, 5]"
83,CSCC[C@H](N)C(=O)NCC(O)=O,Ag+,"[4.63, 8.29]","[5, 11]","[1, 5, 7, 8, 11, 12]"
84,CSCC[C@H](N)C(=O)N[C@@H](CCSC)C(O)=O,Ag+,"[5.81, 8.7]","[5, 15]","[1, 5, 7, 8, 12, 15, 16]"
85,CSCC[C@H](NC(=O)CN)C(O)=O,Ag+,"[4.7, 8.03]","[9, 11]","[1, 5, 7, 9, 11, 12]"
86,C[C@H]1CN[C@@H](C)CN1,Ag+,"[3.6, 5.98]","[3, 7]","[3, 7]"
87,C[C@H]1CN[C@H](C)CN1,Ag+,"[3.48, 6.43]","[7, 3]","[3, 7]"
88,Cc1cc2cccnc2c3ncccc13,Ag+,"[7.3, 13.39]","[7, 10]","[7, 10]"
89,Cc1ccc(SCC(O)=O)cc1,Ag+,"[2.91, 5.0]","[8, 10]","[5, 8, 9]"
90,Cc1ccc([Se]CC(O)=O)cc1,Ag+,"[3.73, 6.5]","[8, 3]","[8, 9]"
91,Cc1cnc(C)cn1,Ag+,"[1.96, 3.13]","[3, 7]","[3, 7]"
92,Cc1cncc(C)n1,Ag+,"[1.95, 3.46]","[7, 3]","[3, 7]"
93,Cc1cnccn1,Ag+,"[1.65, 2.76]","[6, 3]","[3, 6]"
94,Clc1cc2cccnc2c3ncccc13,Ag+,"[4.7, 11.04]","[7, 10]","[7, 10]"
95,Clc1cnccn1,Ag+,"[0.96, 1.53]","[3, 6]","[3, 6]"
96,NC(CO)(CO)CO,Ag+,"[3.14, 6.57]","[0, 5]","[0, 3, 5, 7]"
97,NC1CC1,Ag+,"[3.1, 6.43]","[0, 1]",[0]
98,NC1CCCC1,Ag+,"[3.61, 7.83]","[0, 1]",[0]
99,NC1CCCCC1,Ag+,"[3.72, 8.02]","[0, 1]",[0]
100,NCC#N,Ag+,"[1.9, 3.21]","[0, 1]","[0, 3]"
101,NCC(O)=O,Ag+,"[3.2, 6.63]","[0, 3]","[0, 3, 4]"
102,NCCO,Ag+,"[3.15, 6.65]","[0, 3]","[0, 3]"
103,NCc1ccccc1,Ag+,"[3.02, 7.04]","[0, 5]",[0]
104,Nc1ccc(cc1)[S](O)(=O)=O,Ag+,"[1.14, 2.09]","[0, 8]","[0, 7, 8, 9, 10]"
105,Nc1cnccn1,Ag+,"[1.81, 3.5]","[0, 6]","[0, 3, 6]"
106,OC(=O)CCSCC(O)=O,Ag+,"[4.4, 7.46]","[0, 8]","[0, 2, 5, 8, 9]"
107,OC(=O)CCSCCC(O)=O,Ag+,"[3.9, 6.48]","[0, 9]","[0, 2, 5, 9, 10]"
108,OC(=O)CC[Se]CCC(O)=O,Ag+,"[4.97, 7.36]","[0, 9]","[0, 2, 9, 10]"
109,OC(=O)CC[Te]CCC(O)=O,Ag+,"[6.28, 9.19]","[9, 0]","[0, 2, 9, 10]"
110,OC(=O)CSCC=C,Ag+,"[3.76, 6.8]","[0, 4]","[0, 2, 4]"
111,OC(=O)CSCCC=C,Ag+,"[4.74, 7.0]","[0, 4]","[0, 2, 4]"
112,OC(=O)CSCCCC=C,Ag+,"[4.2, 7.0]","[0, 2]","[0, 2, 4]"
113,OC(=O)CSCc1ccccc1,Ag+,"[3.69, 6.8]","[0, 6]","[0, 2, 4]"
114,OC(=O)CSc1ccc(Br)cc1,Ag+,"[2.53, 4.6]","[0, 11]","[0, 2, 4]"
115,OC(=O)CSc1ccc(Cl)cc1,Ag+,"[2.57, 4.4]","[0, 9]","[0, 2, 4]"
116,OC(=O)CSc1cccc(Cl)c1,Ag+,"[2.43, 4.3]","[0, 10]","[0, 2, 4]"
117,OC(=O)CSc1ccccc1,Ag+,"[2.8, 4.9]","[0, 6]","[0, 2, 4]"
118,OC(=O)C[Se]CC(O)=O,Ag+,"[-6.76, 4.46]","[7, 0]","[0, 2, 7, 8]"
119,OC(=O)C[Se]CCC=C,Ag+,"[5.0, 8.0]","[0, 2]","[0, 2]"
120,OC(=O)C[Se]CCCC=C,Ag+,"[4.63, 7.97]","[0, 2]","[0, 2]"
121,OC(=O)C[Se]c1ccc(Br)cc1,Ag+,"[3.42, 6.0]","[0, 6]","[0, 2]"
122,OC(=O)C[Se]c1ccc(Cl)cc1,Ag+,"[3.44, 5.9]","[0, 9]","[0, 2]"
123,OC(=O)C[Se]c1ccc(cc1)[N+]([O-])=O,Ag+,"[2.82, 5.1]","[0, 6]","[0, 2, 11, 12, 13]"
124,OC(=O)C[Se]c1cccc(Cl)c1,Ag+,"[3.33, 5.6]","[0, 10]","[0, 2]"
125,OC(=O)C[Se]c1ccccc1,Ag+,"[3.65, 6.1]","[0, 6]","[0, 2]"
126,OCCS,Ag+,"[13.2, 17.9]","[3, 0]","[0, 3]"
127,[nH]1cccn1,Ag+,"[-4.37, 2.05]","[4, 0]","[0, 4]"
128,c1ccc(cc1)c2c3ccccc3c(c4ccccc4)c5ccccc25,Ag+,"[5.46, 8.16]","[4, 5]",[]
129,c1ccncc1,Ag+,"[1.93, 4.19]","[3, 2]",[3]
130,c1ccnnc1,Ag+,"[1.48, 2.82]","[4, 3]","[3, 4]"
131,c1cnc2c(c1)ccc3ncccc23,Ag+,"[5.02, 12.06]","[2, 9]","[2, 9]"
132,c1cnccn1,Ag+,"[1.38, 2.41]","[5, 2]","[2, 5]"
133,c1cncnc1,Ag+,"[1.61, 2.98]","[4, 2]","[2, 4]"
134,NNC(N)=S,Ag+,"[7.5, 11.41, 13.28]","[0, 1, 3]","[0, 1, 3, 4]"
135,O[S](=O)(=O)c1ccc(Sc2ccc(cc2)[S](O)(=O)=O)cc1,Ag+,"[1.4, 2.3, 4.0]","[16, 0, 13]","[0, 1, 2, 3, 8, 15, 16, 17, 18]"
136,CCSc1ccc(cc1)[S](O)(=O)=O,Ag+,"[2.61, 4.29, 5.6, 6.6]","[10, 8, 7, 5]","[2, 9, 10, 11, 12]"
137,O[S](=O)(=O)c1ccc(Sc2ccccc2)cc1,Ag+,"[1.67, 2.9, 4.0, 5.8]","[0, 6, 5, 14]","[0, 1, 2, 3, 8]"
138,O[S](=O)(=O)c1ccc([Se]c2ccccc2)cc1,Ag+,"[2.63, 4.89, 6.43, 8.66]","[0, 15, 16, 10]","[0, 1, 2, 3]"
139,SC#N,Ag+,"[4.6, 8.06, 9.6, 10.5]","[0, 2, 0]","[0, 2]"
140,CC(=C/C(O)=O)/C(O)=O,Ca2+,[1.3],[7],"[4, 5, 7, 8]"
141,CC(=O)C(O)=O,Ca2+,[0.8],[4],"[2, 4, 5]"
142,CC(=O)CN(CC(O)=O)CC(O)=O,Ca2+,[4.08],[4],"[2, 4, 7, 8, 11, 12]"
143,CC(=O)[C@H]1CC[C@@]2(O)[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@H](O)C[C@]12C,Ca2+,[14.36],[7],"[2, 7, 14, 21]"
144,CC(C(O)=O)C(O)=O,Ca2+,[1.65],[3],"[3, 4, 6, 7]"
145,CC(C)(C(O)=O)C(O)=O,Ca2+,[1.52],[7],"[4, 5, 7, 8]"
146,CC(C)(C)[P](O)(O)=O,Ca2+,[1.69],[6],"[4, 5, 6, 7]"
147,CC(CN(CC(O)=O)CC(O)=O)N(CC(O)=O)CC(O)=O,Ca2+,[11.55],[3],"[3, 6, 7, 10, 11, 12, 15, 16, 19, 20]"
148,CC(O)([P](O)(O)=O)[P](O)(O)=O,Ca2+,[6.4],[4],"[2, 3, 4, 5, 6, 7, 8, 9, 10]"
149,CC(O)C(O)=O,Ca2+,[1.12],[4],"[2, 4, 5]"
150,CC1=CN(C2CC(O)C(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)O2)C(=O)NC1=O,Ca2+,[3.885],[21],"[3, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 28]"
151,CCC(C(O)=O)C(O)=O,Ca2+,[1.59],[7],"[4, 5, 7, 8]"
152,CCCCCCCCCCCCCC1=C(C)C(=O)c2c(OC)cc(OC)c(O)c2O1,Ca2+,[6.86],[27],"[17, 20, 24, 27, 29]"
153,CCCCO[P]([O-])(=O)O[P]([O-])([O-])=O,Ca2+,[3.0],[7],"[4, 5, 6, 7, 8, 9, 10, 11, 12]"
154,CCCCO[P]([O-])([O-])=O,Ca2+,[1.56],[8],"[4, 5, 6, 7, 8]"
155,CCCN(CCC[S](O)(=O)=O)c1ccc(N=O)c(O)c1,Ca2+,[2.06],[18],"[3, 7, 8, 9, 10, 15, 16, 18]"
156,CCOC[P](O)(O)=O,Ca2+,[1.7],[6],"[2, 4, 5, 6, 7]"
157,CCSC[P](O)(O)=O,Ca2+,[1.7],[5],"[2, 4, 5, 6, 7]"
158,CC[P](O)(O)=O,Ca2+,[1.61],[4],"[2, 3, 4, 5]"
159,COCCN(CC(O)=O)CC(O)=O,Ca2+,[4.66],[7],"[1, 4, 7, 8, 11, 12]"
160,CO[P]([O-])(=O)O[P]([O-])([O-])=O,Ca2+,[2.87],[9],"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
161,CO[P]([O-])([O-])=O,Ca2+,[1.39],[5],"[1, 2, 3, 4, 5]"
162,CSCCN(CC(O)=O)CC(O)=O,Ca2+,[3.41],[7],"[1, 4, 7, 8, 11, 12]"
163,C[P](O)(O)=O,Ca2+,[1.64],[3],"[1, 2, 3, 4]"
164,Cc1cc(ccc1N(CC(O)=O)CC(O)=O)N(CC(O)=O)CC(O)=O,Ca2+,[3.59],[23],"[7, 10, 11, 14, 15, 16, 19, 20, 23, 24]"
165,Cc1ccc(N(CC(O)=O)CC(O)=O)c(c1)N(CC(O)=O)CC(O)=O,Ca2+,[9.26],[8],"[5, 8, 9, 12, 13, 16, 19, 20, 23, 24]"
