metal_ion,SMILES,pKa_num,pKa_value,predicted_positions
Ag+,C#N,1,[20.45],[1]
Ag+,C(CN(Cc1ccccn1)Cc2ccccn2)N(Cc3ccccn3)Cc4ccccn4,1,[11.06],[31]
Ag+,C1CNCCSCCOCCSCCN1,1,[9.9],[14]
Ag+,C1COCCOCCSCCSCCOCCO1,1,[3.05],[11]
Ag+,C1COCCSCCOCCOCCSCCO1,1,[5.27],[5]
Ag+,C1N2CN3CN1CN(C2)C3,1,[3.49],[5]
Ag+,CC(C)=C,1,[1.77],[3]
Ag+,CC(O)=S,1,[4.07],[2]
Ag+,CCCCC(C(O)=O)C(O)=O,1,[0.74],[6]
Ag+,CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@@]3(O)[C@H]2C=C(C)C3=O)[C@@H]4C(C)(C)[C@]14OC(C)=O,1,[7.71],[20]
Ag+,CCCCCCSc1ccc(cc1)C(O)=O,1,[2.84],[14]
Ag+,CCCCCSc1ccc(cc1)C(O)=O,1,[2.84],[13]
Ag+,CCCCSc1ccc(cc1)C(O)=O,1,[2.82],[12]
Ag+,CCCSc1ccc(cc1)C(O)=O,1,[2.82],[11]
Ag+,CCSc1ccc(cc1)C(O)=O,1,[2.82],[10]
Ag+,CN1CCSCCN(C)CCSCC1,1,[11.15],[1]
Ag+,CNCCSCCOCCSCCNC,1,[7.32],[1]
Ag+,COc1ccccc1SCC(O)=O,1,[2.95],[11]
Ag+,CSCC[C@H](N)C(=O)N[C@H](CCSC)C(O)=O,1,[5.71],[5]
Ag+,CSc1ccc(cc1)C(O)=O,1,[2.79],[9]
Ag+,C[C@H](N)C(O)=O,1,[-7.02],[2]
Ag+,Cc1cc(C)nc(C)c1,1,[4.68],[5]
Ag+,Cc1cccc(CN(CC(O)=O)CC(O)=O)n1,1,[6.1],[7]
Ag+,FC(F)(F)C(=O)CC(=O)c1sccc1,1,[1.1],[10]
Ag+,NC(=O)c1cccnc1,1,[3.21],[7]
Ag+,NCCN,1,[7.47],[3]
Ag+,N[C@@H](CCC(O)=O)C(O)=O,1,[3.79],[0]
Ag+,Nc1ccccn1,1,[-4.85],[6]
Ag+,Nc1cccnc1,1,[-4.44],[5]
Ag+,Nc1ccncc1,1,[6.04],[4]
Ag+,OC(=O)C(CC=C)C(O)=O,1,[2.09],[0]
Ag+,OC(=O)C(CCC=C)C(O)=O,1,[2.28],[9]
Ag+,OC(=O)C(CCCC=C)C(O)=O,1,[2.34],[10]
Ag+,OC(=O)CC(S)C(O)=O,1,[7.85],[0]
Ag+,OC(=O)CN(CC(O)=O)Cc1ccccn1,1,[5.65],[4]
Ag+,OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,1,[7.2],[7]
Ag+,OC(=O)COc1ccccc1,1,[0.91],[0]
Ag+,OC(=O)CSCC(O)=O,1,[4.04],[7]
Ag+,OC(=O)CSc1ccc(cc1)[N+]([O-])=O,1,[1.86],[0]
Ag+,OC(=O)c1ccc(SCC=C)cc1,1,[2.76],[0]
Ag+,OC(=O)c1ccc(SCCC=C)cc1,1,[3.84],[0]
Ag+,OC(=O)c1ccc(SCCCC=C)cc1,1,[3.05],[0]
Ag+,OC(=O)c1ccc(SCc2ccccc2)cc1,1,[2.76],[0]
Ag+,OC(=O)c1ccc(Sc2ccccc2)cc1,1,[2.44],[0]
Ag+,OC1CSCCCSCC(O)CSCCCSC1,1,[2.67],[10]
Ag+,OCCN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,1,[6.67],[6]
