SMILES,Identified_Atom_Indices,Identified_Group_Types,Expected_pKa_Count,Found_Group_Count,Reported_pKa_Values,Status
C1CC1c2[nH]nnn2,4:5:6,imidazole_pyridine_type_N:imidazole_pyridine_type_N:imidazole_pyridine_type_N,1,3,5.41,Count Mismatch (Groups vs Num)
C1CCCNCCC1,4,secondary_amine_N,1,1,11.10,OK
C1CCNC1,3,secondary_amine_N,1,1,11.35,OK
C1CCNCC1,3,secondary_amine_N,1,1,11.12,OK
C1CN(CCN1)c2ccccc2,7,secondary_amine_N,1,1,8.60,OK
[nH]1ncc2ccccc12,5,imidazole_pyridine_type_N,1,1,1.10,OK
[nH]1nnc2ccccc12,5:6,imidazole_pyridine_type_N:imidazole_pyridine_type_N,1,2,8.33,Count Mismatch (Groups vs Num)
[nH]1nnnc1Oc2ccccc2,6:7:8,imidazole_pyridine_type_N:imidazole_pyridine_type_N:imidazole_pyridine_type_N,1,3,3.49,Count Mismatch (Groups vs Num)
Cc1sc(N)nn1,2:3:5,imidazole_pyridine_type_N:imidazole_pyridine_type_N:primary_amine_N,1,3,3.20,Count Mismatch (Groups vs Num)
Cc1scc(C)n1,6,imidazole_pyridine_type_N,1,1,4.02,OK
Cn1c(C)nc2c(N)ncnc12,2:5:6:8,imidazole_pyridine_type_N:primary_amine_N:imidazole_pyridine_type_N:imidazole_pyridine_type_N,1,4,4.51,Count Mismatch (Groups vs Num)
Cn1c(C)nc2ccccc12,2,imidazole_pyridine_type_N,1,1,6.62,OK
Cn1c(C)nc2cncnc12,2:5:7,imidazole_pyridine_type_N:imidazole_pyridine_type_N:imidazole_pyridine_type_N,1,3,3.36,Count Mismatch (Groups vs Num)
Cn1c(CO)nc2ccccc12,5,imidazole_pyridine_type_N,1,1,5.43,OK
Cn1c(N)nc2cncnc12,3:4:7:9,primary_amine_N:imidazole_pyridine_type_N:imidazole_pyridine_type_N:imidazole_pyridine_type_N,1,4,4.62,Count Mismatch (Groups vs Num)
C(c1ccccc1)c2ccccn2,10,imidazole_pyridine_type_N,1,1,5.12,OK
Cc1cnc2c(c1)c(C)c(C)c3cc(C)cnc23,3:16,imidazole_pyridine_type_N:imidazole_pyridine_type_N,1,2,5.80,Count Mismatch (Groups vs Num)
