Metal ion,Ligand,Formula,Figure definition,Ligand class,Equilibrium,Temperature (C),Ionic strength,Value type,Value,PubChemFormula,PubChemSMILES,FormulaMatch
H⁺,Aminoacetic acid,C2H5N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.57,,,False
H⁺,L-2-Aminopropanoic acid,C3H7N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.71,,,False
H⁺,"3,6,9,13,16,19-Hexaaza-1,11(2,5)-difuranocycloeicosanophane",C20H34N6O2,L,Aza-oxo-macrocycles,[HL]/[L][H],25,0.1,Log K,9.44,,,False
H⁺,"6,16-Dioxa-3,9,13,19-tetraaza-1,11(2,6)-dipyridinacycloeicosanaphane",C22H34N6O2,L,Aza-oxo-macrocycles,[HL]/[L][H],25,0.1,Log K,8.79,,,False
H⁺,"6,9,19,22-Tetraoxa-3,12,16,25-tetraaza-1,14(2,6)-dipyridinacyclohexacosanophane",C26H42N6O4,L,Aza-oxo-macrocycles,[HL]/[L][H],25,0.1,Log K,8.76,,,False
H⁺,"13,16,21,24-Tetramethyl-4,7-dioxa-1,10,13,16,21,24-hexaazabicyclo[8.8.8]hexacosane",C22H48N6O2,L,Aza-oxo-macrocycles,[HL]/[L][H],25,0.1,Log K,9.68,C2H5NO2,C(C(=O)O)N,False
H⁺,"1,10,19-Trioxa-4,7,13,16,22,25-hexaazacycloheptacosane",C18H42N6O3,L,Aza-oxo-macrocycles,[HL]/[L][H],25,0.1,Log K,9.5,C3H7NO2,C[C@@H](C(=O)O)N,False
H⁺,"7,19,30-Trioxa-1,4,10,13,16,22,27,33-octaazabicyclo[11.11.11]pentatriacontane",C24H54N8O3,L,Aza-oxo-macrocycles,[HL]/[L][H],25,0.1,Log K,9.9,C24H54N8O3,C1CN2CCNCCOCCNCCN(CCNCCOCCN1)CCNCCOCCNCC2,True
H⁺,DL-2-Aminobutanoic acid,C4H9N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.63,C4H9NO2,CCC(C(=O)O)N,True
H⁺,DL-2-Aminopentanoic acid,C5H11N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.65,C5H11NO2,CCCC(C(=O)O)N,True
H⁺,DL-2-Aminohexanoic acid,C6H13N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.68,C6H13NO2,CCCCC(C(=O)O)N,True
H⁺,L-2-Amino-3-methylbutanoic acid,C5H11N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.52,C5H11NO2,CC(C)[C@@H](C(=O)O)N,True
H⁺,L-2-Amino-4-methylpentanoic acid,C6H13N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.58,,,False
H⁺,L-2-Amino-3-methylpentanoic acid,C6H13N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.6,,,False
