SMILES,pKa,Dissociable_Atoms,Functional_Group,Name
NCC(O)=O,9.57,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine)
NCC(O)=O,9.25,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine)
NCC(O)=O,9.54,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine)
NCC(O)=O,9.59,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine)
NCC(O)=O,9.66,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine)
NCC(O)=O,9.8,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine)
NCC(O)=O,9.82,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine)
NCC(O)=O,9.93,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine)
NCC(O)=O,10.07,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine)
NCC(O)=O,10.2,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine)
NCC(O)=O,10.198,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine)
NCC(O)=O,9.778,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine)
NCC(O)=O,9.41,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine)
NCC(O)=O,2.33,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine)
NCC(O)=O,2.33,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine)
NCC(O)=O,2.39,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine)
NCC(O)=O,2.4,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine)
NCC(O)=O,2.44,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine)
NCC(O)=O,2.51,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine)
NCC(O)=O,2.57,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine)
NCC(O)=O,2.61,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine)
NCC(O)=O,2.63,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine)
NCC(O)=O,2.69,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine)
NCC(O)=O,2.71,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine)
