SMILES,pKa,Dissociable_Atoms,Functional_Group,Name,Dissociable_Atoms_Ordered,Functional_Group_Ordered,Dissociation_Order
NCC(O)=O,9.57,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary)
NCC(O)=O,9.25,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary)
NCC(O)=O,9.54,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary)
NCC(O)=O,9.59,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary)
NCC(O)=O,9.66,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary)
NCC(O)=O,9.8,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary)
NCC(O)=O,9.82,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary)
NCC(O)=O,9.93,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary)
NCC(O)=O,10.07,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary)
NCC(O)=O,10.2,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary)
NCC(O)=O,10.198,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary)
NCC(O)=O,9.778,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary)
NCC(O)=O,9.41,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary)
NCC(O)=O,2.33,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary)
NCC(O)=O,2.33,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary)
NCC(O)=O,2.39,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary)
NCC(O)=O,2.4,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary)
NCC(O)=O,2.44,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary)
NCC(O)=O,2.51,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary)
NCC(O)=O,2.57,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary)
NCC(O)=O,2.61,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary)
NCC(O)=O,2.63,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary)
NCC(O)=O,2.69,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary)
NCC(O)=O,2.71,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary)
NCC(O)=O,2.79,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary)
NCC(O)=O,2.401,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary)
NCC(O)=O,2.35,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary)
NCC(O)=O,2.323,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary)
C[C@H](N)C(O)=O,9.71,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary)
C[C@H](N)C(O)=O,9.4,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary)
C[C@H](N)C(O)=O,9.67,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary)
C[C@H](N)C(O)=O,9.71,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary)
C[C@H](N)C(O)=O,9.87,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary)
