SMILES,pKa_num,pKa_value
CC(=O)CC(=O)c1sccc1,1,[8.36]
Sc1ccccc1,1,[6.46]
[Cl-].Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,1,[4.79]
[O-][N+](=O)c1cc2cccnc2c3ncccc13,1,[3.22]
[O-][N+](=O)c1ccc(O[P](O)(O)=O)cc1,1,[5.015]
[O-][n+]1ccccc1S,1,[4.43]
[OH-],1,[13.78]
[SeH]c1cccc2cccnc12,1,[8.64]
C=CCCc1ccccn1,1,[5.88]
C=CCc1ccccn1,1,[5.34]
C=Cc1ccccn1,1,[5.04]
C=Cc1ccncc1,1,[5.4]
CC(=NO)C(=O)c1ccccc1,1,[9.1]
CC(=O)C(/C)=N/O,1,[9.28]
CC(=O)C(O)=O,1,[2.26]
CC(=O)CC(=O)c1occc1,1,[8.64]
Cc1ccc(O)cc1,1,[10.04]
Cc1ccc2ccc3ccc(C)nc3c2n1,1,[5.83]
Cc1ccc2ccc3cccnc3c2n1,1,[5.31]
C[C@]1(CCC(=O)N1)C(O)=O,1,[3.14]
C1CCNCC1,1,[11.08]
C1CN(CCN1)c2ccccc2,1,[8.6]
C1N2CN3CN1CN(C2)C3,1,[4.89]
C=CCCCc1ccccn1,1,[5.97]
Cc1[nH]ccn1,1,[7.9]
Cc1c(C)c2cccnc2c3ncccc13,1,[5.6]
Cc1c[nH]cn1,1,[7.55]
Cc1cc(C)cc(O)c1,1,[9.98]
Cc1cc(C)nc(C)c1,1,[7.22]
Cc1cc2cccnc2c3ncccc13,1,[5.27]
Cc1ccc(CN)cc1,1,[9.51]
Cc1ccc(N)c(N)c1,1,[4.79]
Oc1cccc(I)c1,1,[8.74]
Oc1cccc(c1)C#N,1,[8.36]
Oc1cccc(c1)[N+]([O-])=O,1,[8.16]
Oc1cccc2cccc(c12)[S](O)(=O)=O,1,[12.65]
Oc1cccc2ccccc12,1,[9.14]
Oc1cccc[n+]1[O-],1,[5.81]
Oc1ccccc1,1,[9.78]
Oc1ccccc1Br,1,[8.22]
CC(=O)NCCc1c[nH]cn1,1,[7.12]
CC(=O)NO,1,[9.29]
CC(C)(C)N,1,[10.65]
Oc1ccc2ccccc2c1,1,[9.31]
Oc1ccc2ccccc2c1N=O,1,[7.65]
Oc1ccc2ccccc2c1[N+]([O-])=O,1,[5.75]
Oc1cccc(Br)c1,1,[8.75]
Oc1cccc(F)c1,1,[8.81]
s1cccc1c2ccccn2,1,[3.69]
s1ccc(c1)c2ccncc2,1,[5.6]
s1ccc(c1)c2cccnc2,1,[4.81]
C1CCNC1,1,[11.3]
CC(=O)CC(O)=O,1,[3.57]
CC(=O)CCC(O)=O,1,[4.5]
CC(=O)NC(Cc1ccc(O)cc1)C(O)=O,1,[9.88]
CC(=O)NCC(O)=O,1,[3.49]
[nH]1cccn1,1,[2.58]
C#N,1,[9.04]
s1cncc1c2ccccn2,1,[2.68]
s1cnc(c1)c2ccccn2,1,[4.05]
s1ccnc1c2ccccn2,1,[2.17]
s1cccc1c2ccncc2,1,[5.48]
s1cccc1c2cccnc2,1,[4.41]
C(c1ccccc1)c2ccccn2,1,[5.12]
OCC1=CC(=O)C(=C(I)O1)O,1,[6.52]
OCC1=CC(=O)C(=CO1)O,1,[7.66]
OCCC(O)=O,1,[4.4]
OCCCCCc1ccccn1,1,[5.93]
OCCCCCc1cccnc1,1,[5.72]
OCCCCCc1ccncc1,1,[6.04]
OCCCCc1ccccn1,1,[5.83]
OCCCCc1cccnc1,1,[5.7]
O[C@H]1CCCC[C@H]1C(O)=O,1,[4.6]
O[C@H]1CCC[C@@H](C1)C(O)=O,1,[4.53]
O[C@H]1CC[C@H](CC1)C(O)=O,1,[4.64]
