Ligand,Name
Aminoacetic acid (Glycine),Glycine
L-2-Aminopropanoic acid (Alanine),Alanine
"3,6,9,13,16,19-Hexaaza-1,11(2,5)-difuranocycloeicosanophane (BFBD)",BFBD
"6,16-Dioxa-3,9,13,19-tetraaza-1,11(2,6)-dipyridinacycloeicosanaphane (O-BISBAMP)",O-BISBAMP
"6,9,19,22-Tetraoxa-3,12,16,25-tetraaza-1,14(2,6)-dipyridinacyclohexacosanophane (O2-BISBAMP)",O2-BISBAMP
"13,16,21,24-Tetramethyl-4,7-dioxa-1,10,13,16,21,24-hexaazabicyclo[8.8.8]hexacosane","13,16,21,24-Tetramethyl-4,7-dioxa-1,10,13,16,21,24-hexaazabicyclo[8.8.8]hexacosane"
"1,10,19-Trioxa-4,7,13,16,22,25-hexaazacycloheptacosane","1,10,19-Trioxa-4,7,13,16,22,25-hexaazacycloheptacosane"
"7,19,30-Trioxa-1,4,10,13,16,22,27,33-octaazabicyclo[11.11.11]pentatriacontane (O-Bistren)",O-Bistren
DL-2-Aminobutanoic acid,DL-2-Aminobutanoic acid
DL-2-Aminopentanoic acid (Norvaline),Norvaline
DL-2-Aminohexanoic acid (Norleucine),Norleucine
L-2-Amino-3-methylbutanoic acid (Valine),Valine
L-2-Amino-4-methylpentanoic acid (Leucine),Leucine
L-2-Amino-3-methylpentanoic acid (Isoleucine),Isoleucine
D-allo-2-Amino-3-methylpentanoic acid (D-allo-Isoleucine),D-allo-Isoleucine
2-Amino-2-methylpropanoic acid (2-Aminoisobutyric acid),2-Aminoisobutyric acid
DL-2-Amino-4-pentenoic acid,DL-2-Amino-4-pentenoic acid
DL-2-Amino-5-hexenoic acid,DL-2-Amino-5-hexenoic acid
DL-2-Amino-6-heptenoic acid,DL-2-Amino-6-heptenoic acid
1-Aminocyclopentanecarboxylic acid (Cycloleucine),Cycloleucine
1-Aminocyclohexanecarboxylic acid,1-Aminocyclohexanecarboxylic acid
1-Aminocycloheptanecarboxylic acid,1-Aminocycloheptanecarboxylic acid
DL-Aminophenylacetic acid (Phenylglycine),Phenylglycine
L-2-Amino-3-phenylpropanoic acid (Phenylalanine),Phenylalanine
