Ligand,Name,smiles
Aminoacetic acid (Glycine),Glycine,C(C(=O)O)N
L-2-Aminopropanoic acid (Alanine),Alanine,CC(C(=O)O)N
"3,6,9,13,16,19-Hexaaza-1,11(2,5)-difuranocycloeicosanophane (BFBD)",BFBD,
"6,16-Dioxa-3,9,13,19-tetraaza-1,11(2,6)-dipyridinacycloeicosanaphane (O-BISBAMP)",O-BISBAMP,
"6,9,19,22-Tetraoxa-3,12,16,25-tetraaza-1,14(2,6)-dipyridinacyclohexacosanophane (O2-BISBAMP)",O2-BISBAMP,
"13,16,21,24-Tetramethyl-4,7-dioxa-1,10,13,16,21,24-hexaazabicyclo[8.8.8]hexacosane","13,16,21,24-Tetramethyl-4,7-dioxa-1,10,13,16,21,24-hexaazabicyclo[8.8.8]hexacosane",
"1,10,19-Trioxa-4,7,13,16,22,25-hexaazacycloheptacosane","1,10,19-Trioxa-4,7,13,16,22,25-hexaazacycloheptacosane",
"7,19,30-Trioxa-1,4,10,13,16,22,27,33-octaazabicyclo[11.11.11]pentatriacontane (O-Bistren)",O-Bistren,
DL-2-Aminobutanoic acid,DL-2-Aminobutanoic acid,CCC(C(=O)O)N
DL-2-Aminopentanoic acid (Norvaline),Norvaline,CCCC(C(=O)O)N
DL-2-Aminohexanoic acid (Norleucine),Norleucine,CCCCC(C(=O)O)N
L-2-Amino-3-methylbutanoic acid (Valine),Valine,CC(C)C(C(=O)O)N
L-2-Amino-4-methylpentanoic acid (Leucine),Leucine,CC(C)CC(C(=O)O)N
L-2-Amino-3-methylpentanoic acid (Isoleucine),Isoleucine,CCC(C)C(C(=O)O)N
D-allo-2-Amino-3-methylpentanoic acid (D-allo-Isoleucine),D-allo-Isoleucine,CCC(C)C(C(=O)O)N
2-Amino-2-methylpropanoic acid (2-Aminoisobutyric acid),2-Aminoisobutyric acid,CC(C)(C(=O)O)N
DL-2-Amino-4-pentenoic acid,DL-2-Amino-4-pentenoic acid,C=CCC(C(=O)O)N
DL-2-Amino-5-hexenoic acid,DL-2-Amino-5-hexenoic acid,
DL-2-Amino-6-heptenoic acid,DL-2-Amino-6-heptenoic acid,
1-Aminocyclopentanecarboxylic acid (Cycloleucine),Cycloleucine,C1CCC(C1)(C(=O)O)N
1-Aminocyclohexanecarboxylic acid,1-Aminocyclohexanecarboxylic acid,C1CCC(CC1)(C(=O)O)N
1-Aminocycloheptanecarboxylic acid,1-Aminocycloheptanecarboxylic acid,C1CCCC(CC1)(C(=O)O)N
DL-Aminophenylacetic acid (Phenylglycine),Phenylglycine,
L-2-Amino-3-phenylpropanoic acid (Phenylalanine),Phenylalanine,C1=CC=C(C=C1)CC(C(=O)O)N
DL-2-Amino-3-chloropropanoic acid (3-Chloroalanine),3-Chloroalanine,C(C(C(=O)O)N)Cl
DL-2-Amino-3-chlorobutanoic acid,DL-2-Amino-3-chlorobutanoic acid,
DL-2-Amino-3-(2-fluorophenyl)propanoic acid (DL-3-(2-Fluorophenyl)alanine),2-Fluorophenylalanine,C1=CC=C(C(=C1)CC(C(=O)O)N)F
DL-2-Amino-3-(3-fluorophenyl)propanoic acid (DL-3-(3-Fluorophenyl)alanine),3-Fluorophenylalanine,C1=CC(=CC(=C1)F)CC(C(=O)O)N
DL-2-Amino-3-(4-fluorophenyl)propanoic acid (DL-3-(4-Fluorophenyl)alanine),4-Fluorophenylalanine,C1=CC(=CC=C1CC(C(=O)O)N)F
DL-2-Amino-3-(2-chlorophenyl)propanoic acid (DL-3-(2-Chlorophenyl)alanine),2-Chlorophenylalanine,C1=CC=C(C(=C1)CC(C(=O)O)N)Cl
DL-2-Amino-3-(3-chlorophenyl)propanoic acid (DL-3-(3-Chlorophenyl)alanine),3-Chlorophenylalanine,C1=CC(=CC(=C1)Cl)CC(C(=O)O)N
DL-2-Amino-3-(4-chlorophenyl)propanoic acid (DL-3-(4-Chlorophenyl)alanine),4-Chlorophenylalanine,C1=CC(=CC=C1CC(C(=O)O)N)Cl
DL-Amino-4-sulfophenylacetic acid (4-Sulfophenylglycine),4-Sulfophenylglycine,
DL-2-Amino-4-sulfobutanoic acid (Homocysteic acid),Homocysteic acid,C(CS(=O)(=O)O)C(C(=O)O)N
3-Aminopropanoic acid (beta-Alanine),beta-Alanine,C(CN)C(=O)O
DL-3-Aminobutanoic acid,DL-3-Aminobutanoic acid,CC(CC(=O)O)N
cis-2-Aminocyclopentane-1-carboxylic acid,cis-2-Aminocyclopentane-1-carboxylic acid,C1CC(C(C1)N)C(=O)O
trans-2-Aminocyclopentane-1-carboxylic acid,trans-2-Aminocyclopentane-1-carboxylic acid,C1CC(C(C1)N)C(=O)O
cis-2-Aminocyclohexane-1-carboxylic acid,cis-2-Aminocyclohexane-1-carboxylic acid,
trans-2-Aminocyclohexane-1-carboxylic acid,trans-2-Aminocyclohexane-1-carboxylic acid,
cis-2-Amino-4-cyclohexene-1-carboxylic acid,cis-2-Amino-4-cyclohexene-1-carboxylic acid,C1C=CCC(C1C(=O)O)N
trans-2-Amino-4-cyclohexene-1-carboxylic acid,trans-2-Amino-4-cyclohexene-1-carboxylic acid,C1C=CCC(C1C(=O)O)N
DL-3-Amino-3-phenylpropanoic acid (Phenyl-beta-Alanine),Phenyl-beta-Alanine,
4-Aminobutanoic acid,4-Aminobutanoic acid,C(CC(=O)O)CN
5-Aminopentanoic acid,5-Aminopentanoic acid,C(CCN)CC(=O)O
6-Aminohexanoic acid,6-Aminohexanoic acid,C(CCC(=O)O)CCN
7-Aminoheptanoic acid,7-Aminoheptanoic acid,C(CCCN)CCC(=O)O
Aminopropanedioic acid (Aminomalonic acid),Aminomalonic acid,C(C(=O)O)(C(=O)O)N
L-Aminobutanedioic acid (Aspartic acid),Aspartic acid,C(C(C(=O)O)N)C(=O)O
DL-2-Amino-3-methylbutanedioic acid (3-Methylaspartic acid),3-Methylaspartic acid,CC(C(C(=O)O)N)C(=O)O
L-2-Aminopentanedioic acid (Glutamic acid),Glutamic acid,C(CC(=O)O)C(C(=O)O)N
DL-2-Amino-2-methylpentanedioic acid (2-Methylglutamic acid),2-Methylglutamic acid,CC(CCC(=O)O)(C(=O)O)N
DL-2-Aminohexanedioic acid,DL-2-Aminohexanedioic acid,C(CC(C(=O)O)N)CC(=O)O
DL-2-Amino-3-hydroxypentanedioic acid (3-Hydroxyglutamic acid),3-Hydroxyglutamic acid,C(C(C(C(=O)O)N)O)C(=O)O
(3-Aminopropyl)malonic acid,3-Aminopropylmalonic acid,
