smiles,pka_values,functional_groups,mapping,pka_matrix
[Cl-].Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,[4.79],"[{'type': 'Aniline', 'indices': [17]}]","{'4.79': {'type': 'Aniline', 'indices': [17]}}","[(17, 4.79)]"
[O-][N+](=O)c1cc2cccnc2c3ncccc13,[3.22],"[{'type': 'Pyridine', 'indices': [9]}, {'type': 'Pyridine', 'indices': [12]}]","{'3.22': {'type': 'Pyridine', 'indices': [9]}}","[(9, 3.22)]"
[O-][n+]1ccccc1S,[4.43],"[{'type': 'Thiol', 'indices': [7]}, {'type': 'Pyridine', 'indices': [1]}]","{'4.43': {'type': 'Pyridine', 'indices': [1]}}","[(1, 4.43)]"
C=CCCc1ccccn1,[5.88],"[{'type': 'Pyridine', 'indices': [9]}]","{'5.88': {'type': 'Pyridine', 'indices': [9]}}","[(9, 5.88)]"
C=CCc1ccccn1,[5.34],"[{'type': 'Pyridine', 'indices': [8]}]","{'5.34': {'type': 'Pyridine', 'indices': [8]}}","[(8, 5.34)]"
C=Cc1ccccn1,[5.04],"[{'type': 'Pyridine', 'indices': [7]}]","{'5.04': {'type': 'Pyridine', 'indices': [7]}}","[(7, 5.04)]"
C=Cc1ccncc1,[5.4],"[{'type': 'Pyridine', 'indices': [5]}]","{'5.4': {'type': 'Pyridine', 'indices': [5]}}","[(5, 5.4)]"
CC(=O)C(O)=O,[2.26],"[{'type': 'COOH', 'indices': [4]}]","{'2.26': {'type': 'COOH', 'indices': [4]}}","[(4, 2.26)]"
Cc1ccc(O)cc1,[10.04],"[{'type': 'Phenol', 'indices': [5]}]","{'10.04': {'type': 'Phenol', 'indices': [5]}}","[(5, 10.04)]"
Cc1ccc2ccc3ccc(C)nc3c2n1,[5.83],"[{'type': 'Pyridine', 'indices': [15]}, {'type': 'Pyridine', 'indices': [12]}]","{'5.83': {'type': 'Pyridine', 'indices': [15]}}","[(15, 5.83)]"
Cc1ccc2ccc3cccnc3c2n1,[5.31],"[{'type': 'Pyridine', 'indices': [14]}, {'type': 'Pyridine', 'indices': [11]}]","{'5.31': {'type': 'Pyridine', 'indices': [14]}}","[(14, 5.31)]"
C[C@]1(CCC(=O)N1)C(O)=O,[3.14],"[{'type': 'COOH', 'indices': [8]}]","{'3.14': {'type': 'COOH', 'indices': [8]}}","[(8, 3.14)]"
C1CCNCC1,[11.08],"[{'type': 'SecondaryAmine', 'indices': [3]}]","{'11.08': {'type': 'SecondaryAmine', 'indices': [3]}}","[(3, 11.08)]"
