smiles,true_pka,pred_pka,rmse,true_cla,pred_cla,acc,prec,rec,f1,is_train,pka_matrix,func_mapping
CN(CC(O)=O)C(=O)CNC(=O)CN,"[2.9000000953674316, 7.980000019073486]","[2.7545392513275146, 7.953390598297119]",0.104563180924665,"[[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(4, 2.9), (13, 7.98)]","{'2.9': 'COOH', '7.98': 'PrimaryAmine'}"
OCCNCCc1ccccn1,"[3.1500000953674316, 7.940000057220459]","[5.47263765335083, 8.512349128723145]",1.6914828593676454,"[[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(11, 3.15), (3, 7.94)]","{'3.15': 'Pyridine', '7.94': 'SecondaryAmine'}"
[nH]1ccnc1,[7.0],[5.752005577087402],1.2479944352429375,"[[0, 0, 0, 1, 0], [0, 0, 0, 0, 0]]","[[0, 0, 0, 1, 0], [0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(3, 7.0)]",{'7.0': 'Imidazole'}
CC(C)[C@H](N)C(=O)N[C@@H](C)C(O)=O,"[3.319999933242798, 7.920000076293945]","[3.1450068950653076, 8.079577445983887]",0.1674626844211345,"[[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(11, 3.32), (4, 7.92)]","{'3.32': 'COOH', '7.92': 'PrimaryAmine'}"
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(O)=O,"[3.259999990463257, 7.940000057220459]","[3.0813910961151123, 7.9044508934021]",0.1287728182585628,"[[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(14, 3.26), (2, 7.94)]","{'3.26': 'COOH', '7.94': 'PrimaryAmine'}"
O=C1CC(=O)NCCCNCCCNCCCN1,"[7.929999828338623, 9.579999923706055]","[8.621726036071777, 9.686141967773438]",0.4948491079885339,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(9, 7.93), (13, 9.58)]","{'7.93': 'SecondaryAmine', '9.58': 'SecondaryAmine'}"
Oc1ccc(F)cc1,[9.460000038146973],[9.260058403015137],0.1999416325754097,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(0, 9.46)]",{'9.46': 'Phenol'}
CCNCCNCC,"[7.28000020980835, 10.15999984741211]","[8.654461860656738, 10.61306095123291]",1.023330158690541,"[[0, 0, 1, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 1, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(2, 7.28), (5, 10.16)]","{'7.28': 'SecondaryAmine', '10.16': 'SecondaryAmine'}"
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O,[3.4600000381469727],[3.31970477104187],0.1402952646447083,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(11, 3.46)]",{'3.46': 'COOH'}
OCC1=CC(=O)C(=C(CN2CCCCC2)O1)O,"[6.360000133514404, 9.199999809265137]","[6.987057209014893, 9.239045143127441]",0.4442550585570928,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(16, 6.36), (9, 9.2)]","{'6.36': 'Phenol', '9.2': 'TertiaryAmine'}"
c1cc(ccn1)C=Cc2ccncc2,"[4.409999847412109, 5.650000095367432]","[4.8297200202941895, 5.474059581756592]",0.3218074662923762,"[[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(5, 4.41), (11, 5.65)]","{'4.41': 'Pyridine', '5.65': 'Pyridine'}"
Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O,[3.549999952316284],[3.8933045864105225],0.3433046381939296,"[[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(0, 3.55)]",{'3.55': 'Aniline'}
O[C@@H]1CCCC[C@H]1C(O)=O,[4.489999771118164],[3.967914581298828],0.5220851794750861,"[[0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(8, 4.49)]",{'4.49': 'COOH'}
NCC(O)C(O)=O,"[2.6600000858306885, 9.130000114440918]","[2.5058982372283936, 9.082417488098145]",0.1140427235873292,"[[1, 0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(5, 2.66), (0, 9.13)]","{'2.66': 'COOH', '9.13': 'PrimaryAmine'}"
CCOC(=O)CCN,[9.180000305175781],[9.032933235168457],0.1470670681984406,"[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(7, 9.18)]",{'9.18': 'PrimaryAmine'}
CC(=O)NCC(O)=O,[3.490000009536743],[2.9508285522460938],0.5391714566453814,"[[0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(6, 3.49)]",{'3.49': 'COOH'}
O[C@@H]1CCC[C@@H](C1)C(O)=O,[4.409999847412109],[4.082710266113281],0.3272895850113964,"[[0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(8, 4.41)]",{'4.41': 'COOH'}
Cc1ccnc2c1ccc3c(C)ccnc23,[5.949999809265137],[5.51885986328125],0.4311399533661224,"[[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",0.96875,0.75,1.0,0.8333333333333333,True,"[(4, 5.95)]",{'5.95': 'Pyridine'}
NC(=O)CCCc1ccncc1,[5.639999866485596],[5.036054611206055],0.6039452612985247,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(9, 5.64)]",{'5.64': 'Pyridine'}
