smiles,true_pka,pred_pka,rmse,func,pos,mapping
C[C@H](O)[C@H](N)C(O)=O,2.109999895095825,2.110078811645508,7.891654968261719e-05,COOH,6,"[(6, 2.11), (4, 8.92)]"
CC(C)C[C@H](N)C(=O)N[C@H](CC(C)C)C(=O)NCC(O)=O,3.3299999237060547,3.329390048980713,0.0006098747253417969,COOH,19,"[(19, 3.33), (5, 7.89)]"
OC(=O)C[Se]CC(O)=O,4.340000152587891,4.339160442352295,0.0008397102355957031,COOH,7,"[(0, 3.31), (7, 4.34)]"
CC(C)CC(C(O)=O)C(O)=O,2.869999885559082,2.871126413345337,0.0011265277862548828,COOH,6,"[(6, 2.87), (9, 5.36)]"
Oc1cccc(F)c1,8.8100004196167,8.811603546142578,0.0016031265258789062,Phenol,0,"[(0, 8.81)]"
CC(C)[C@H](N)C(=O)N[C@@H](C(C)C)C(O)=O,7.960000038146973,7.958159923553467,0.0018401145935058594,PrimaryAmine,4,"[(13, 3.4), (4, 7.96)]"
C[C@@H](O[P](O)(O)=O)[C@H](N)C(O)=O,5.829999923706055,5.827711582183838,0.002288341522216797,PhosphonicAcid,4,"[(10, 2.25), (4, 5.83), (8, 9.67)]"
OC(=O)CN(CC(O)=O)c1ccc(c2ccccc12)[S](O)(=O)=O,3.9200000762939453,3.9224836826324463,0.0024836063385009766,COOH,7,"[(0, 2.76), (7, 3.92)]"
NCC(=O)NCC(=O)N1CCC[C@H]1C(=O)NCC(O)=O,8.0600004196167,8.057473182678223,0.0025272369384765625,PrimaryAmine,0,"[(18, 3.17), (0, 8.06)]"
CCCC(C(O)=O)C(O)=O,5.449999809265137,5.4474568367004395,0.0025429725646972656,COOH,8,"[(5, 2.84), (8, 5.45)]"
Cc1ccc2ccc3cccnc3c2n1,5.309999942779541,5.306907653808594,0.0030922889709472656,Pyridine,14,"[(14, 5.31)]"
OC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1,3.2699999809265137,3.2733867168426514,0.0033867359161376953,COOH,0,"[(0, 3.27), (19, 8.67)]"
NCCNC(=O)C(=O)NCCN,9.229999542236328,9.226279258728027,0.0037202835083007812,PrimaryAmine,11,"[(0, 8.45), (11, 9.23)]"
OC(=O)c1ccc(O)cc1,8.979999542236328,8.976117134094238,0.0038824081420898438,Phenol,7,"[(0, 4.37), (7, 8.98)]"
N[C@@H](Cc1ccc(O)cc1)C(=O)NCC(=O)NCC(O)=O,7.369999885559082,7.365955829620361,0.004044055938720703,PrimaryAmine,0,"[(19, 3.22), (0, 7.37), (7, 10.09)]"
NCC(=O)NCC(=O)NCC(O)=O,7.889999866485596,7.894626140594482,0.004626274108886719,PrimaryAmine,0,"[(11, 3.21), (0, 7.89)]"
CC(C)C[C@H](N)C(=O)NCC(=O)N[C@H](CC(C)C)C(O)=O,3.319999933242798,3.3137972354888916,0.00620269775390625,COOH,19,"[(19, 3.32), (5, 7.79)]"
NCC(=O)NCC(=O)NCC(=O)N1CCC[C@H]1C(O)=O,8.039999961853027,8.046504020690918,0.006504058837890625,PrimaryAmine,0,"[(18, 2.91), (0, 8.04)]"
CC(C)C[C@H](N)C(=O)NCC(=O)NCC(O)=O,3.2300000190734863,3.2366037368774414,0.006603717803955078,COOH,15,"[(15, 3.23), (5, 7.75)]"
C[C@H](N)C(=O)N[C@H](CCCCN)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(O)=O,3.2100000381469727,3.2168478965759277,0.006847858428955078,COOH,23,"[(23, 3.21), (2, 7.9), (11, 10.26)]"
NCCCC[C@H](N)C(=O)N[C@H](CCCCN)C(O)=O,9.8100004196167,9.816882133483887,0.0068817138671875,PrimaryAmine,6,"[(17, 2.74), (0, 7.42), (6, 9.81), (15, 10.78)]"
NC(=O)CCN(CC(O)=O)CC(O)=O,2.4100000858306885,2.417407751083374,0.007407665252685547,COOH,8,"[(8, 2.41), (5, 8.46)]"
OCCCc1cccnc1,5.570000171661377,5.561790466308594,0.008209705352783203,Pyridine,8,"[(8, 5.57)]"
CCCCCSCC(O)=O,3.640000104904175,3.631709098815918,0.008291006088256836,COOH,8,"[(8, 3.64)]"
NCCCC[C@H](NC(=O)[C@@H](N)CCCNC(N)=N)C(=O)N[C@H](CC(O)=O)C(O)=O,4.119999885559082,4.111397743225098,0.008602142333984375,COOH,27,"[(24, 2.71), (27, 4.12), (0, 7.42), (10, 10.55)]"
NCCc1cccc(O)c1,10.470000267028809,10.461308479309082,0.008691787719726562,PrimaryAmine,0,"[(8, 9.34), (0, 10.47)]"
NCC(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O,9.979999542236328,9.989436149597168,0.009436607360839844,PrimaryAmine,0,"[(15, 3.02), (11, 8.14), (0, 9.98)]"
OC(C(O)=O)c1ccccc1,3.200000047683716,3.1899309158325195,0.010069131851196289,COOH,3,"[(3, 3.2)]"
OCCCCc1cccnc1,5.699999809265137,5.7103447914123535,0.010344982147216797,Pyridine,9,"[(9, 5.7)]"
