Functional Group,Data Points,pKa_Min,pKa_Max,pKa_Range,pKa_Mean,pKa_Median,pKa_StdDev
COOH,588,0.5,6.96,6.46,3.431666666666667,3.27,0.9921543133030747
PrimaryAmine,406,7.01,13.4,6.390000000000001,8.73564039408867,8.225000000000001,1.230272491240576
Phenol,138,0.6,11.4,10.8,8.756159420289856,9.325,1.8029096139392142
Pyridine,123,2.81,8.64,5.83,5.023333333333333,5.24,0.9602258090345435
SecondaryAmine,66,7.03,11.34,4.31,9.329393939393938,9.35,1.2224489563463825
PhosphonicAcid,43,0.7,6.72,6.02,4.505503875968992,5.83,2.3268297108329503
Phosphate,39,0.6,10.69,10.09,4.757606837606836,5.74,3.0714056609819913
TertiaryAmine,32,7.0,12.5,5.5,9.094687500000001,8.855,1.6010308873796752
Aniline,32,3.01,10.37,7.359999999999999,4.9309375,4.475,1.7914891839176004
Thiol,29,5.34,11.0,5.66,8.428620689655173,8.21,1.4149539389065324
Imidazole,14,7.0,8.4,1.4000000000000004,7.409999999999999,7.25,0.4158983392265816
NHydroxylamine,13,8.4,10.57,2.17,9.481538461538463,9.29,0.7520213392414845
ImidazoleLike,7,7.1,11.58,4.48,8.647714285714285,9.07,1.5423201181787056
